category,market_name,seller_name,business_name,crawled_at,shoppinglive_seller_name,replay_title,replay_views,replay_url,store_url,profile_url
뷰티,르네휘테르 코리아,전현진,피에르파브르더모코스메틱코리아 (유),2026-03-24T01:55:44.190Z,뷰티룸,강희재 출연💚르네휘테르 포티샤 3+1외 두피케어 역대 혜택 LIVE,450000,https://view.shoppinglive.naver.com/replays/1848887,https://smartstore.naver.com/main/stores/2sWE1zYyuNBOP3T5sCuZF,https://brand.naver.com/renefurterer/profile?cp=2
뷰티,비플레인 beplain,정윤진,주식회사 모먼츠컴퍼니 (Moments Company Inc.),2026-03-24T01:55:44.190Z,뷰티룸,[단독론칭] 비플레인x페일 선파우더✨단독 사은품 증정🎁,220000,https://view.shoppinglive.naver.com/replays/1847390,https://smartstore.naver.com/main/stores/2sWDxPGpDYUwLGQVf9c0u,https://brand.naver.com/beplain/profile?cp=2
뷰티,유세린공식스토어,양정미,바이어스도르프 코리아(유),2026-03-24T01:55:44.190Z,유세린공식스토어,[앵콜재방송]유세린 에피셀린 1주년! 다시 어려지는 피부를 위한브랜드데이,4580,https://view.shoppinglive.naver.com/replays/1876918,https://smartstore.naver.com/main/stores/2sWDxclIoc1aYcaYzHz2t,https://brand.naver.com/eucerin/profile?cp=2
뷰티,브라운 공식 브랜드스토어,김희영,주식회사 이엘피스(E-엘피스),2026-03-24T01:55:44.190Z,브라운 공식 브랜드스토어,[신상 OPENRUN] 브라운 NEW 스킨쉴드 역대급 찬스⏳,260000,https://view.shoppinglive.naver.com/replays/1869631,https://smartstore.naver.com/main/stores/2sWDw43yyg3VSXFI6Xztn,https://brand.naver.com/braun/profile?cp=2
뷰티,바이오힐보 BOH,이선정,씨제이올리브영 주식회사,2026-03-24T01:55:44.190Z,바이오힐보 BOH,단 하루! 바이오힐보 3D리프팅 스킨케어 특가 LIVE,280000,https://view.shoppinglive.naver.com/replays/1871688,https://smartstore.naver.com/main/stores/2sWE0rp3MjzvnLFTjFPwZ,https://brand.naver.com/boh/profile?cp=2
뷰티,AROMATICA,"김영균,이준호",(주)아로마티카,2026-03-24T01:55:44.190Z,AROMATICA,~52%+15%💚 아로마티카 리필데이 LIVE♻️,380000,https://view.shoppinglive.naver.com/replays/1867021,https://smartstore.naver.com/main/stores/2sWDvmHy0l3Luqo35QcIb,https://brand.naver.com/aromatica/profile?cp=2
뷰티,니베아 브랜드샵,양정미,바이어스도르프 코리아(유),2026-03-24T01:55:44.190Z,니베아 브랜드샵,단독 니베아 신상위크 LIVE✨신상품 출시 특가+사은품🎁,1824,https://view.shoppinglive.naver.com/replays/1865113,https://smartstore.naver.com/main/stores/2sWE0E4T5d4OZlqIpjD1r,https://brand.naver.com/niveabrandshop/profile?cp=2
뷰티,자빈드서울,김다정,(주)다하우스,2026-03-24T01:55:44.190Z,자빈드서울,자빈드서울X호호뷰티 NEW 윙크 쿠션 쉐이드 프라이머 라이브 특가,1996,https://view.shoppinglive.naver.com/replays/1868728,https://smartstore.naver.com/main/stores/2sWDwwYXiPshllp8zzXdc,https://brand.naver.com/javindeseoul/profile?cp=1
뷰티,아이오페,김승환,(주)아모레퍼시픽,2026-03-24T01:55:44.190Z,아이오페,아이오페💙특수관리급 마스크 특집 라이브📺(UP TO 40%+@),2950,https://view.shoppinglive.naver.com/replays/1870018,https://smartstore.naver.com/main/stores/2sWDzcdGnlNKquaFxypj7,https://brand.naver.com/iope/profile?cp=2
뷰티,필립스,최낙훈,주식회사 필립스코리아,2026-03-24T01:55:44.190Z,필립스,[필립스] i9000 시리즈 라이브 특가+멤버십데이 추가 적립까지!,99000,https://view.shoppinglive.naver.com/replays/1876266,https://smartstore.naver.com/main/stores/2sWDvWpXclWlWnBum1Q9r,https://brand.naver.com/philips/profile?cp=2
